VGM to MIDI conversion process started.
Pos: 0xE0, Cmd: 0xBC
Pos: 0xE3, Cmd: 0xBC
Pos: 0xE6, Cmd: 0xBC
Pos: 0xE9, Cmd: 0xBC
Pos: 0xEC, Cmd: 0xBC
Pos: 0xEF, Cmd: 0xBC
Pos: 0xF2, Cmd: 0xBC
Pos: 0xF5, Cmd: 0xBC
Pos: 0xF8, Cmd: 0xBC
Pos: 0xFB, Cmd: 0xBC
Pos: 0xFE, Cmd: 0xBC
Pos: 0x101, Cmd: 0xBC
Pos: 0x104, Cmd: 0xBC
Pos: 0x107, Cmd: 0xBC
Pos: 0x10A, Cmd: 0xBC
Pos: 0x10D, Cmd: 0xBC
Pos: 0x110, Cmd: 0xBC
Pos: 0x113, Cmd: 0xBC
Pos: 0x116, Cmd: 0xBC
Pos: 0x119, Cmd: 0xBC
Pos: 0x11C, Cmd: 0xC6
Pos: 0x120, Cmd: 0xC6
Pos: 0x124, Cmd: 0xC6
Pos: 0x128, Cmd: 0xC6
Pos: 0x12C, Cmd: 0x70
Pos: 0x12D, Cmd: 0xC6
Pos: 0x131, Cmd: 0xC6
Pos: 0x135, Cmd: 0xC6
Pos: 0x139, Cmd: 0xC6
Pos: 0x13D, Cmd: 0xC6
Pos: 0x141, Cmd: 0xC6
Pos: 0x145, Cmd: 0xC6
Pos: 0x149, Cmd: 0xC6
Pos: 0x14D, Cmd: 0xC6
Pos: 0x151, Cmd: 0xC6
Pos: 0x155, Cmd: 0xC6
Pos: 0x159, Cmd: 0xC6
Pos: 0x15D, Cmd: 0x78
Pos: 0x15E, Cmd: 0xC6
Pos: 0x162, Cmd: 0xC6
Pos: 0x166, Cmd: 0xC6
Pos: 0x16A, Cmd: 0xC6
Pos: 0x16E, Cmd: 0xC6
Pos: 0x172, Cmd: 0xC6
Pos: 0x176, Cmd: 0xC6
Pos: 0x17A, Cmd: 0xC6
Pos: 0x17E, Cmd: 0xC6
Pos: 0x182, Cmd: 0xC6
Pos: 0x186, Cmd: 0xC6
Pos: 0x18A, Cmd: 0xC6
Pos: 0x18E, Cmd: 0xC6
Pos: 0x192, Cmd: 0xC6
Pos: 0x196, Cmd: 0xC6
Pos: 0x19A, Cmd: 0xC6
Pos: 0x19E, Cmd: 0x72
Pos: 0x19F, Cmd: 0xBC
Pos: 0x1A2, Cmd: 0xBC
Pos: 0x1A5, Cmd: 0x71
Pos: 0x1A6, Cmd: 0xC6
Pos: 0x1AA, Cmd: 0xC6
Pos: 0x1AE, Cmd: 0xC6
Pos: 0x1B2, Cmd: 0xC6
Pos: 0x1B6, Cmd: 0xC6
Pos: 0x1BA, Cmd: 0xC6
Pos: 0x1BE, Cmd: 0xC6
Pos: 0x1C2, Cmd: 0xC6
Pos: 0x1C6, Cmd: 0xC6
Pos: 0x1CA, Cmd: 0xC6
Pos: 0x1CE, Cmd: 0xC6
Pos: 0x1D2, Cmd: 0xC6
Pos: 0x1D6, Cmd: 0x70
Pos: 0x1D7, Cmd: 0xC6
Pos: 0x1DB, Cmd: 0xC6
Pos: 0x1DF, Cmd: 0xC6
Pos: 0x1E3, Cmd: 0xC6
Pos: 0x1E7, Cmd: 0x77
Pos: 0x1E8, Cmd: 0xC6
Pos: 0x1EC, Cmd: 0xC6
Pos: 0x1F0, Cmd: 0xC6
Pos: 0x1F4, Cmd: 0xC6
Pos: 0x1F8, Cmd: 0x70
Pos: 0x1F9, Cmd: 0xC6
Pos: 0x1FD, Cmd: 0xC6
Pos: 0x201, Cmd: 0xC6
Pos: 0x205, Cmd: 0xC6
Pos: 0x209, Cmd: 0xC6
Pos: 0x20D, Cmd: 0xC6
Pos: 0x211, Cmd: 0xC6
Pos: 0x215, Cmd: 0xC6
Pos: 0x219, Cmd: 0xC6
Pos: 0x21D, Cmd: 0xC6
Pos: 0x221, Cmd: 0xC6
Pos: 0x225, Cmd: 0xC6
Pos: 0x229, Cmd: 0x71
Pos: 0x22A, Cmd: 0xBC
Pos: 0x22D, Cmd: 0xBC
Pos: 0x230, Cmd: 0x72
