Tick: 0 | WRITE to 0x91 with value 0x7
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
