Starting command dump from offset 0xe0
0x000000e0: 0xbc (WS Write) - Port: 0x0, Val: 0x0
0x000000e3: 0xbc (WS Write) - Port: 0x1, Val: 0x0
0x000000e6: 0xbc (WS Write) - Port: 0x2, Val: 0x0
0x000000e9: 0xbc (WS Write) - Port: 0x3, Val: 0x0
0x000000ec: 0xbc (WS Write) - Port: 0x4, Val: 0x2b
0x000000ef: 0xbc (WS Write) - Port: 0x5, Val: 0x4
0x000000f2: 0xbc (WS Write) - Port: 0x6, Val: 0x0
0x000000f5: 0xbc (WS Write) - Port: 0x7, Val: 0x0
0x000000f8: 0xbc (WS Write) - Port: 0x8, Val: 0x0
0x000000fb: 0xbc (WS Write) - Port: 0x9, Val: 0x0
0x000000fe: 0xbc (WS Write) - Port: 0xa, Val: 0x0
0x00000101: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x00000104: 0xbc (WS Write) - Port: 0xc, Val: 0x0
0x00000107: 0xbc (WS Write) - Port: 0xd, Val: 0x0
0x0000010a: 0xbc (WS Write) - Port: 0xe, Val: 0x18
0x0000010d: 0xbc (WS Write) - Port: 0xf, Val: 0x2
0x00000110: 0xbc (WS Write) - Port: 0x10, Val: 0x40
0x00000113: 0xbc (WS Write) - Port: 0x11, Val: 0x7
0x00000116: 0xbc (WS Write) - Port: 0x14, Val: 0x0
0x00000119: 0xbc (WS Write) - Port: 0x1e, Val: 0x0
0x0000011c: 0xc6 (RAM Write) - Addr: 0x8000, Val: 0xff
0x00000120: 0xc6 (RAM Write) - Addr: 0x8100, Val: 0xff
0x00000124: 0xc6 (RAM Write) - Addr: 0x8200, Val: 0xff
0x00000128: 0xc6 (RAM Write) - Addr: 0x8300, Val: 0xff
0x0000012c: 0x0000012d: 0xc6 (RAM Write) - Addr: 0x8400, Val: 0x0
0x00000131: 0xc6 (RAM Write) - Addr: 0x8500, Val: 0x0
0x00000135: 0xc6 (RAM Write) - Addr: 0x8600, Val: 0x0
0x00000139: 0xc6 (RAM Write) - Addr: 0x8700, Val: 0x0
0x0000013d: 0xc6 (RAM Write) - Addr: 0x8800, Val: 0x0
0x00000141: 0xc6 (RAM Write) - Addr: 0x8900, Val: 0x0
0x00000145: 0xc6 (RAM Write) - Addr: 0x8a00, Val: 0x0
0x00000149: 0xc6 (RAM Write) - Addr: 0x8b00, Val: 0x0
0x0000014d: 0xc6 (RAM Write) - Addr: 0x8c00, Val: 0x0
0x00000151: 0xc6 (RAM Write) - Addr: 0x8d00, Val: 0x0
0x00000155: 0xc6 (RAM Write) - Addr: 0x8e00, Val: 0x0
0x00000159: 0xc6 (RAM Write) - Addr: 0x8f00, Val: 0x0
0x0000015d: 0x0000015e: 0xc6 (RAM Write) - Addr: 0x8000, Val: 0xcb
0x00000162: 0xc6 (RAM Write) - Addr: 0x8100, Val: 0xde
0x00000166: 0xc6 (RAM Write) - Addr: 0x8200, Val: 0xed
0x0000016a: 0xc6 (RAM Write) - Addr: 0x8300, Val: 0xbc
0x0000016e: 0xc6 (RAM Write) - Addr: 0x8400, Val: 0x33
0x00000172: 0xc6 (RAM Write) - Addr: 0x8500, Val: 0x22
0x00000176: 0xc6 (RAM Write) - Addr: 0x8600, Val: 0x11
0x0000017a: 0xc6 (RAM Write) - Addr: 0x8700, Val: 0x11
0x0000017e: 0xc6 (RAM Write) - Addr: 0x8800, Val: 0x0
0x00000182: 0xc6 (RAM Write) - Addr: 0x8900, Val: 0x0
0x00000186: 0xc6 (RAM Write) - Addr: 0x8a00, Val: 0x0
0x0000018a: 0xc6 (RAM Write) - Addr: 0x8b00, Val: 0x0
0x0000018e: 0xc6 (RAM Write) - Addr: 0x8c00, Val: 0x11
0x00000192: 0xc6 (RAM Write) - Addr: 0x8d00, Val: 0x11
0x00000196: 0xc6 (RAM Write) - Addr: 0x8e00, Val: 0x22
0x0000019a: 0xc6 (RAM Write) - Addr: 0x8f00, Val: 0x33
0x0000019e: 0x0000019f: 0xbc (WS Write) - Port: 0x0, Val: 0x7b
0x000001a2: 0xbc (WS Write) - Port: 0x1, Val: 0x6
0x000001a5: 0x000001a6: 0xc6 (RAM Write) - Addr: 0x9000, Val: 0xff
0x000001aa: 0xc6 (RAM Write) - Addr: 0x9100, Val: 0xff
0x000001ae: 0xc6 (RAM Write) - Addr: 0x9200, Val: 0xff
0x000001b2: 0xc6 (RAM Write) - Addr: 0x9300, Val: 0xff
0x000001b6: 0xc6 (RAM Write) - Addr: 0x9400, Val: 0xff
0x000001ba: 0xc6 (RAM Write) - Addr: 0x9500, Val: 0xff
0x000001be: 0xc6 (RAM Write) - Addr: 0x9600, Val: 0xff
0x000001c2: 0xc6 (RAM Write) - Addr: 0x9700, Val: 0xff
0x000001c6: 0xc6 (RAM Write) - Addr: 0x9800, Val: 0x0
0x000001ca: 0xc6 (RAM Write) - Addr: 0x9900, Val: 0x0
0x000001ce: 0xc6 (RAM Write) - Addr: 0x9a00, Val: 0x0
0x000001d2: 0xc6 (RAM Write) - Addr: 0x9b00, Val: 0x0
0x000001d6: 0x000001d7: 0xc6 (RAM Write) - Addr: 0x9c00, Val: 0x0
0x000001db: 0xc6 (RAM Write) - Addr: 0x9d00, Val: 0x0
0x000001df: 0xc6 (RAM Write) - Addr: 0x9e00, Val: 0x0
0x000001e3: 0xc6 (RAM Write) - Addr: 0x9f00, Val: 0x0
0x000001e7: 0x000001e8: 0xc6 (RAM Write) - Addr: 0x9000, Val: 0xff
0x000001ec: 0xc6 (RAM Write) - Addr: 0x9100, Val: 0xff
0x000001f0: 0xc6 (RAM Write) - Addr: 0x9200, Val: 0xff
0x000001f4: 0xc6 (RAM Write) - Addr: 0x9300, Val: 0xff
0x000001f8: 0x000001f9: 0xc6 (RAM Write) - Addr: 0x9400, Val: 0x0
0x000001fd: 0xc6 (RAM Write) - Addr: 0x9500, Val: 0x0
0x00000201: 0xc6 (RAM Write) - Addr: 0x9600, Val: 0x0
0x00000205: 0xc6 (RAM Write) - Addr: 0x9700, Val: 0x0
0x00000209: 0xc6 (RAM Write) - Addr: 0x9800, Val: 0x0
0x0000020d: 0xc6 (RAM Write) - Addr: 0x9900, Val: 0x0
0x00000211: 0xc6 (RAM Write) - Addr: 0x9a00, Val: 0x0
0x00000215: 0xc6 (RAM Write) - Addr: 0x9b00, Val: 0x0
0x00000219: 0xc6 (RAM Write) - Addr: 0x9c00, Val: 0x0
0x0000021d: 0xc6 (RAM Write) - Addr: 0x9d00, Val: 0x0
0x00000221: 0xc6 (RAM Write) - Addr: 0x9e00, Val: 0x0
0x00000225: 0xc6 (RAM Write) - Addr: 0x9f00, Val: 0x0
0x00000229: 0x0000022a: 0xbc (WS Write) - Port: 0x2, Val: 0xf6
0x0000022d: 0xbc (WS Write) - Port: 0x3, Val: 0x4
0x00000230: 0x00000231: 0xc6 (RAM Write) - Addr: 0xa000, Val: 0xff
0x00000235: 0xc6 (RAM Write) - Addr: 0xa100, Val: 0xff
0x00000239: 0xc6 (RAM Write) - Addr: 0xa200, Val: 0xff
0x0000023d: 0xc6 (RAM Write) - Addr: 0xa300, Val: 0xff
0x00000241: 0xc6 (RAM Write) - Addr: 0xa400, Val: 0xff
0x00000245: 0xc6 (RAM Write) - Addr: 0xa500, Val: 0xff
0x00000249: 0xc6 (RAM Write) - Addr: 0xa600, Val: 0x0
0x0000024d: 0xc6 (RAM Write) - Addr: 0xa700, Val: 0x0
0x00000251: 0xc6 (RAM Write) - Addr: 0xa800, Val: 0xdd
0x00000255: 0xc6 (RAM Write) - Addr: 0xa900, Val: 0xdd
0x00000259: 0xc6 (RAM Write) - Addr: 0xaa00, Val: 0xff
0x0000025d: 0xc6 (RAM Write) - Addr: 0xab00, Val: 0xff
0x00000261: 0xc6 (RAM Write) - Addr: 0xac00, Val: 0xff
0x00000265: 0xc6 (RAM Write) - Addr: 0xad00, Val: 0xff
0x00000269: 0xc6 (RAM Write) - Addr: 0xae00, Val: 0x0
0x0000026d: 0xc6 (RAM Write) - Addr: 0xaf00, Val: 0xff
0x00000271: 0x00000272: 0xc6 (RAM Write) - Addr: 0xa000, Val: 0x43
0x00000276: 0xc6 (RAM Write) - Addr: 0xa100, Val: 0x22
0x0000027a: 0xc6 (RAM Write) - Addr: 0xa200, Val: 0xff
0x0000027e: 0xc6 (RAM Write) - Addr: 0xa300, Val: 0xee
0x00000282: 0xc6 (RAM Write) - Addr: 0xa400, Val: 0x36
0x00000286: 0xc6 (RAM Write) - Addr: 0xa500, Val: 0x9c
0x0000028a: 0xc6 (RAM Write) - Addr: 0xa600, Val: 0x6
0x0000028e: 0xc6 (RAM Write) - Addr: 0xa700, Val: 0xcf
0x00000292: 0xc6 (RAM Write) - Addr: 0xa800, Val: 0xff
